cluster,auc,pre_micro,pre_macro
0,0.9691479119027562,0.3456549137978786,
1,0.8421418349367591,0.3181438231576669,
2,0.4689416631008415,0.5125136792425362,
3,0.6918189082998513,0.4133196281132304,
4,0.4660368490317729,0.5161384365747188,
5,0.46907981097400897,0.5141349418113738,
6,0.3855016896792354,0.5597462467746082,
7,0.31077223620946626,0.5936674333642401,
8,0.6576632835506941,0.42197756205292214,
9,0.33861251340377596,0.5863996205155132,
10,0.3670094174722648,0.566032568824838,
11,0.3802606019550754,0.5592472015543482,
12,0.4303168684248451,0.5311925610372137,
13,0.4586179681090144,0.5182846953472909,
14,0.5528202623809629,0.471092273777031,
15,0.4091552552620299,0.543104409762153,
16,0.4452217410301223,0.5289773220136482,
17,0.445235646958012,0.5307764466727735,
18,0.3944359756097561,0.5540927949027249,
19,0.5670409115138593,0.46499072870630687,
20,0.7240431328197797,0.3883307814876134,
21,0.34752718918265296,0.5764410134101158,
22,0.5715233139475564,0.4661673354498441,
23,0.4117064795181175,0.5445621177968744,
24,0.6786212062312148,0.41250987289659385,
25,0.4525009972078181,0.5230391078878788,
26,0.3531710677620197,0.5768062400560292,
27,0.7444119874499622,0.39605976438471774,
